longitude,latitude,elevation,quality
100,-50,-1366.977778440511,3
100,-40,-1245.5934932645112,1
100,-30,-1147.1314680475568,3
100,-20,-1074.5834216016767,1
100,-10,-1030.153689607046,3
100,0,-1015.192246987792,1
100,10,-1030.153689607046,1
100,20,-1074.5834216016767,1
100,30,-1147.1314680475568,1
100,40,-1245.5934932645112,3
100,50,-1366.977778440511,3
100,60,-1507.596123493896,2
100,70,-1663.1759111665347,4
100,80,-1828.9899283371656,1
100,90,-2000.0,3
110,-90,-2000.0,3
110,-80,-1836.824088833465,4
110,-70,-1678.6061951567303,2
110,-60,-1530.1536896070456,4
110,-50,-1395.9772264449462,4
110,-40,-1280.1536896070459,3
110,-30,-1186.2023186506262,1
110,-20,-1116.977778440511,3
110,-10,-1074.5834216016767,3
110,0,-1060.3073792140917,1
110,10,-1074.5834216016767,1
110,20,-1116.977778440511,3
110,30,-1186.2023186506262,3
110,40,-1280.1536896070459,2
110,50,-1395.9772264449462,4
110,60,-1530.1536896070456,2
110,70,-1678.6061951567303,2
110,80,-1836.824088833465,2
110,90,-2000.0,3
120,-90,-2000.0,2
120,-80,-1849.6162668195645,3
120,-70,-1703.801867273976,2
120,-60,-1566.9872981077806,4
120,-50,-1443.3296007735805,3
120,-40,-1336.5860518310615,4
120,-30,-1250.0,4
120,-20,-1186.2023186506262,3
120,-10,-1147.1314680475566,2
120,0,-1133.9745962155612,3
120,10,-1147.1314680475566,4
120,20,-1186.2023186506262,1
120,30,-1250.0,3
120,40,-1336.5860518310615,3
120,50,-1443.3296007735805,4
120,60,-1566.9872981077806,3
120,70,-1703.801867273976,2
120,80,-1849.6162668195645,3
120,90,-2000.0,1
130,-90,-2000.0,1
130,-80,-1866.977778440511,4
130,-70,-1737.997369770615,1
130,-60,-1616.977778440511,3
130,-50,-1507.596123493896,2
130,-40,-1413.1759111665347,3
130,-30,-1336.5860518310615,4
130,-20,-1280.1536896070456,2
130,-10,-1245.593493264511,4
130,0,-1233.955556881022,1
130,10,-1245.593493264511,3
130,20,-1280.1536896070456,3
130,30,-1336.5860518310615,4
130,40,-1413.1759111665347,3
130,50,-1507.596123493896,1
130,60,-1616.977778440511,4
130,70,-1737.997369770615,4
130,80,-1866.977778440511,1
130,90,-2000.0,3
140,-90,-2000.0,2
140,-80,-1888.3811029510503,3
140,-70,-1780.1536896070456,1
140,-60,-1678.6061951567303,1
140,-50,-1586.824088833465,4
140,-40,-1507.596123493896,1
140,-30,-1443.3296007735805,4
140,-20,-1395.9772264449462,1
140,-10,-1366.977778440511,3
140,0,-1357.2123903134607,3
140,10,-1366.977778440511,4
140,20,-1395.9772264449462,1
140,30,-1443.3296007735805,3
140,40,-1507.596123493896,3
140,50,-1586.824088833465,4
140,60,-1678.6061951567303,1
140,70,-1780.1536896070456,2
140,80,-1888.3811029510503,2
140,90,-2000.0,2
150,-90,-2000.0,2
150,-80,-1913.175911166535,4
150,-70,-1828.9899283371656,2
150,-60,-1750.0,2
150,-50,-1678.6061951567303,1
150,-40,-1616.977778440511,1
150,-30,-1566.9872981077806,1
150,-20,-1530.1536896070459,3
150,-10,-1507.5961234938961,4
150,0,-1500.0,1
150,10,-1507.5961234938961,2
150,20,-1530.1536896070459,1
150,30,-1566.9872981077806,4
150,40,-1616.977778440511,1
150,50,-1678.6061951567303,3
150,60,-1750.0,4
150,70,-1828.9899283371656,3
150,80,-1913.175911166535,2
150,90,-2000.0,4
160,-90,-2000.0,1
160,-80,-1940.6088253861153,4
160,-70,-1883.022221559489,4
160,-60,-1828.9899283371656,2
160,-50,-1780.1536896070456,1
160,-40,-1737.997369770615,4
160,-30,-1703.801867273976,1
160,-20,-1678.60619515673,4
160,-10,-1663.1759111665347,1
160,0,-1657.9798566743311,4
160,10,-1663.1759111665347,2
160,20,-1678.60619515673,1
160,30,-1703.801867273976,4
160,40,-1737.997369770615,3
160,50,-1780.1536896070456,2
160,60,-1828.9899283371656,3
160,70,-1883.022221559489,3
160,80,-1940.6088253861153,1
160,90,-2000.0,4
170,-90,-2000.0,1
170,-80,-1969.8463103929541,3
170,-70,-1940.6088253861153,3
170,-60,-1913.175911166535,3
170,-50,-1888.3811029510505,4
170,-40,-1866.977778440511,4
170,-30,-1849.6162668195648,1
170,-20,-1836.8240888334653,3
170,-10,-1828.9899283371658,2
170,0,-1826.3518223330698,3
170,10,-1828.9899283371658,3
170,20,-1836.8240888334653,3
170,30,-1849.6162668195648,3
170,40,-1866.977778440511,4
170,50,-1888.3811029510505,3
170,60,-1913.175911166535,4
170,70,-1940.6088253861153,4
170,80,-1969.8463103929541,4
170,90,-2000.0,3
180,-90,-2000.0,1
180,-80,-2000.0,1
180,-70,-2000.0,2
180,-60,-2000.0,2
180,-50,-2000.0,2
180,-40,-2000.0,4
180,-30,-2000.0,2
180,-20,-1999.9999999999998,3
180,-10,-1999.9999999999998,1
180,0,-1999.9999999999998,2
180,10,-1999.9999999999998,4
180,20,-1999.9999999999998,2
180,30,-2000.0,3
180,40,-2000.0,2
180,50,-2000.0,4
180,60,-2000.0,3
180,70,-2000.0,2
180,80,-2000.0,3
180,90,-2000.0,3
190,-90,-2000.0,4
190,-80,-2030.1536896070459,3
190,-70,-2059.3911746138847,3
190,-60,-2086.8240888334653,4
190,-50,-2111.6188970489497,3
190,-40,-2133.022221559489,2
190,-30,-2150.3837331804352,3
190,-20,-2163.175911166535,2
190,-10,-2171.0100716628344,2
190,0,-2173.6481776669307,3
190,10,-2171.0100716628344,3
190,20,-2163.175911166535,2
190,30,-2150.3837331804352,2
190,40,-2133.022221559489,3
190,50,-2111.6188970489497,1
190,60,-2086.8240888334653,2
190,70,-2059.3911746138847,4
190,80,-2030.1536896070459,4
190,90,-2000.0,1
200,-90,-2000.0,1
200,-80,-2059.3911746138847,4
200,-70,-2116.977778440511,3
200,-60,-2171.0100716628344,2
200,-50,-2219.8463103929544,3
200,-40,-2262.002630229385,3
200,-30,-2296.1981327260237,1
200,-20,-2321.3938048432697,2
200,-10,-2336.824088833465,2
200,0,-2342.020143325669,3
200,10,-2336.824088833465,4
200,20,-2321.3938048432697,3
200,30,-2296.1981327260237,3
200,40,-2262.002630229385,3
200,50,-2219.8463103929544,1
200,60,-2171.0100716628344,3
200,70,-2116.977778440511,3
200,80,-2059.3911746138847,4
200,90,-2000.0,2
210,-90,-2000.0,1
210,-80,-2086.8240888334653,4
210,-70,-2171.0100716628344,2
210,-60,-2250.0,1
210,-50,-2321.3938048432697,1
210,-40,-2383.022221559489,4
210,-30,-2433.0127018922194,3
210,-20,-2469.8463103929544,4
210,-10,-2492.403876506104,4
210,0,-2500.0,3
210,10,-2492.403876506104,2
210,20,-2469.8463103929544,2
210,30,-2433.0127018922194,1
210,40,-2383.022221559489,4
210,50,-2321.3938048432697,4
210,60,-2250.0,3
210,70,-2171.0100716628344,4
210,80,-2086.8240888334653,3
210,90,-2000.0,2
220,-90,-2000.0,1
220,-80,-2111.6188970489497,2
220,-70,-2219.8463103929544,2
220,-60,-2321.3938048432697,2
220,-50,-2413.1759111665347,2
220,-40,-2492.403876506104,3
220,-30,-2556.6703992264192,1
220,-20,-2604.0227735550534,1
220,-10,-2633.022221559489,4
220,0,-2642.7876096865393,4
220,10,-2633.022221559489,2
220,20,-2604.0227735550534,1
220,30,-2556.6703992264192,3
220,40,-2492.403876506104,2
220,50,-2413.1759111665347,1
220,60,-2321.3938048432697,4
220,70,-2219.8463103929544,3
220,80,-2111.6188970489497,1
220,90,-2000.0,3
230,-90,-2000.0,2
230,-80,-2133.022221559489,1
230,-70,-2262.002630229385,4
230,-60,-2383.022221559489,1
230,-50,-2492.403876506104,1
230,-40,-2586.824088833465,1
230,-30,-2663.413948168938,3
230,-20,-2719.8463103929544,3
230,-10,-2754.4065067354886,4
230,0,-2766.044443118978,4
230,10,-2754.4065067354886,1
230,20,-2719.8463103929544,3
230,30,-2663.413948168938,3
230,40,-2586.824088833465,2
230,50,-2492.403876506104,2
230,60,-2383.022221559489,4
230,70,-2262.002630229385,4
230,80,-2133.022221559489,4
230,90,-2000.0,4
240,-90,-2000.0,2
240,-80,-2150.3837331804352,1
240,-70,-2296.1981327260237,1
240,-60,-2433.0127018922194,3
240,-50,-2556.6703992264192,3
240,-40,-2663.413948168938,4
240,-30,-2750.0,1
240,-20,-2813.7976813493733,3
240,-10,-2852.868531952443,4
240,0,-2866.0254037844384,1
240,10,-2852.868531952443,1
240,20,-2813.7976813493733,3
240,30,-2750.0,1
240,40,-2663.413948168938,3
240,50,-2556.6703992264192,1
240,60,-2433.0127018922194,3
240,70,-2296.1981327260237,3
240,80,-2150.3837331804352,4
240,90,-2000.0,3
250,-90,-2000.0,2
250,-80,-2163.175911166535,4
250,-70,-2321.3938048432697,3
250,-60,-2469.8463103929544,4
250,-50,-2604.022773555054,2
250,-40,-2719.8463103929544,1
250,-30,-2813.7976813493738,1
250,-20,-2883.022221559489,4
250,-10,-2925.4165783983235,4
250,0,-2939.6926207859083,1
250,10,-2925.4165783983235,4
250,20,-2883.022221559489,1
250,30,-2813.7976813493738,4
250,40,-2719.8463103929544,4
250,50,-2604.022773555054,4
250,60,-2469.8463103929544,2
250,70,-2321.3938048432697,2
250,80,-2163.175911166535,1
250,90,-2000.0,4
260,-90,-2000.0,1
260,-80,-2171.0100716628344,4
260,-70,-2336.8240888334653,2
260,-60,-2492.403876506104,1
260,-50,-2633.022221559489,1
260,-40,-2754.4065067354886,1
260,-30,-2852.868531952443,4
260,-20,-2925.4165783983235,3
260,-10,-2969.846310392954,2
260,0,-2984.807753012208,4
260,10,-2969.846310392954,2
260,20,-2925.4165783983235,4
260,30,-2852.868531952443,4
260,40,-2754.4065067354886,4
260,50,-2633.022221559489,2
260,60,-2492.403876506104,1
260,70,-2336.8240888334653,2
260,80,-2171.0100716628344,3
260,90,-2000.0,4
270,-90,-2000.0,3
270,-80,-2173.64817766693,2
270,-70,-2342.020143325669,4
270,-60,-2500.0,4
270,-50,-2642.7876096865393,2
270,-40,-2766.044443118978,4
270,-30,-2866.025403784439,1
270,-20,-2939.6926207859083,4
270,-10,-2984.807753012208,3
270,0,-3000.0,2
270,10,-2984.807753012208,3
270,20,-2939.6926207859083,2
270,30,-2866.025403784439,2
270,40,-2766.044443118978,3
270,50,-2642.7876096865393,2
270,60,-2500.0,3
270,70,-2342.020143325669,1
270,80,-2173.64817766693,4
270,90,-2000.0,4
280,-90,-2000.0,2
280,-80,-2171.0100716628344,2
280,-70,-2336.8240888334653,1
280,-60,-2492.403876506104,3
280,-50,-2633.022221559489,1
280,-40,-2754.406506735489,1
280,-30,-2852.8685319524434,3
280,-20,-2925.4165783983235,2
280,-10,-2969.8463103929544,1
280,0,-2984.807753012208,1
280,10,-2969.8463103929544,2
280,20,-2925.4165783983235,1
280,30,-2852.8685319524434,3
280,40,-2754.406506735489,4
280,50,-2633.022221559489,2
280,60,-2492.403876506104,2
280,70,-2336.8240888334653,2
280,80,-2171.0100716628344,2
280,90,-2000.0,1
290,-90,-2000.0,2
290,-80,-2163.1759111665347,4
290,-70,-2321.3938048432697,2
290,-60,-2469.8463103929544,2
290,-50,-2604.0227735550534,4
290,-40,-2719.8463103929544,1
290,-30,-2813.7976813493738,1
290,-20,-2883.022221559489,3
290,-10,-2925.416578398323,4
290,0,-2939.6926207859083,4
290,10,-2925.416578398323,1
290,20,-2883.022221559489,2
290,30,-2813.7976813493738,4
290,40,-2719.8463103929544,2
290,50,-2604.0227735550534,4
290,60,-2469.8463103929544,2
290,70,-2321.3938048432697,4
290,80,-2163.1759111665347,3
290,90,-2000.0,1
300,-90,-2000.0,3
300,-80,-2150.3837331804352,1
300,-70,-2296.1981327260237,2
300,-60,-2433.0127018922194,3
300,-50,-2556.6703992264192,3
300,-40,-2663.413948168938,3
300,-30,-2750.0,1
300,-20,-2813.7976813493738,2
300,-10,-2852.868531952443,3
300,0,-2866.025403784439,2
300,10,-2852.868531952443,2
300,20,-2813.7976813493738,3
300,30,-2750.0,1
300,40,-2663.413948168938,1
300,50,-2556.6703992264192,1
300,60,-2433.0127018922194,1
300,70,-2296.1981327260237,4
300,80,-2150.3837331804352,4
300,90,-2000.0,2
310,-90,-2000.0,4
310,-80,-2133.022221559489,1
310,-70,-2262.002630229385,3
310,-60,-2383.022221559489,3
310,-50,-2492.403876506104,3
310,-40,-2586.8240888334653,3
310,-30,-2663.4139481689385,3
310,-20,-2719.8463103929544,2
310,-10,-2754.406506735489,2
310,0,-2766.044443118978,3
310,10,-2754.406506735489,1
310,20,-2719.8463103929544,2
310,30,-2663.4139481689385,4
310,40,-2586.8240888334653,1
310,50,-2492.403876506104,4
310,60,-2383.022221559489,4
310,70,-2262.002630229385,3
310,80,-2133.022221559489,4
310,90,-2000.0,4
320,-90,-2000.0,4
320,-80,-2111.6188970489497,3
320,-70,-2219.8463103929544,3
320,-60,-2321.3938048432697,4
320,-50,-2413.175911166535,1
320,-40,-2492.403876506104,2
320,-30,-2556.6703992264197,3
320,-20,-2604.022773555054,1
320,-10,-2633.0222215594895,1
320,0,-2642.7876096865393,4
320,10,-2633.0222215594895,2
320,20,-2604.022773555054,3
320,30,-2556.6703992264197,3
320,40,-2492.403876506104,4
320,50,-2413.175911166535,1
320,60,-2321.3938048432697,3
320,70,-2219.8463103929544,1
320,80,-2111.6188970489497,4
320,90,-2000.0,3
330,-90,-2000.0,1
330,-80,-2086.8240888334653,2
330,-70,-2171.0100716628344,2
330,-60,-2250.0000000000005,4
330,-50,-2321.39380484327,1
330,-40,-2383.0222215594895,3
330,-30,-2433.01270189222,3
330,-20,-2469.846310392955,4
330,-10,-2492.4038765061046,1
330,0,-2500.0000000000005,1
330,10,-2492.4038765061046,2
330,20,-2469.846310392955,3
330,30,-2433.01270189222,1
330,40,-2383.0222215594895,3
330,50,-2321.39380484327,3
330,60,-2250.0000000000005,1
330,70,-2171.0100716628344,2
330,80,-2086.8240888334653,4
330,90,-2000.0,4
340,-90,-2000.0,1
340,-80,-2059.3911746138847,3
340,-70,-2116.977778440511,4
340,-60,-2171.0100716628344,3
340,-50,-2219.846310392954,3
340,-40,-2262.002630229385,4
340,-30,-2296.1981327260237,3
340,-20,-2321.3938048432697,4
340,-10,-2336.824088833465,4
340,0,-2342.0201433256684,1
340,10,-2336.824088833465,1
340,20,-2321.3938048432697,2
340,30,-2296.1981327260237,4
340,40,-2262.002630229385,4
340,50,-2219.846310392954,4
340,60,-2171.0100716628344,2
340,70,-2116.977778440511,1
340,80,-2059.3911746138847,2
340,90,-2000.0,2
350,-90,-2000.0,2
350,-80,-2030.1536896070459,3
350,-70,-2059.3911746138847,3
350,-60,-2086.8240888334653,1
350,-50,-2111.6188970489497,3
350,-40,-2133.022221559489,3
350,-30,-2150.3837331804352,2
350,-20,-2163.175911166535,1
350,-10,-2171.0100716628344,4
350,0,-2173.64817766693,4
350,10,-2171.0100716628344,2
350,20,-2163.175911166535,3
350,30,-2150.3837331804352,2
350,40,-2133.022221559489,3
350,50,-2111.6188970489497,2
350,60,-2086.8240888334653,1
350,70,-2059.3911746138847,2
350,80,-2030.1536896070459,4
350,90,-2000.0,1
